target_name_sci,night_sci,tpl_start_sci,obs_targ_name_sci,obs_name_sci,tpl_start_Lcal,obs_targ_name_Lcal,obs_name_Lcal,tpl_start_Ncal,obs_targ_name_Ncal,obs_name_Ncal,comment,calibration_status,skip_calibration
IRAS_13481-6124,2019-03-22,2019-03-23T07:44:51,IRAS_13481-6124,SCI_IRAS13481-6124,2019-03-23T08:15:36,zet_Ara,CAL_IRAS13481-6124_zet_Ara,,,,unable to reduce calibrator observation 2019-03-23T08:07:00,EWS cal fail,1.0
HD_163296,2019-03-22,2019-03-23T08:41:19,HD163296,SCI_HD163296,2019-03-23T08:53:41,delSgr,CAL_HD163296_delSgr,,,,,L band ok,1.0
HD_142527,2019-03-22,2019-03-23T09:06:28,HD142527,SCI_HD142527,2019-03-23T09:19:37,epsSco,CAL_HD142527_epsSco,,,,,,1.0
MWC_297,2019-03-22,2019-03-23T09:32:52,EM MWC  297,SCI_MWC297,2019-03-23T09:46:13,lamSgr,CAL_MWC297_lamSgr,,,,,,1.0
MWC_297,2019-03-22,2019-03-23T09:32:52,EM MWC  297,SCI_MWC297,2019-03-23T09:46:13,lamSgr,CAL_MWC297_lamSgr,,,,,,1.0
MWC_297,2019-03-22,2019-03-23T09:59:54,EM MWC  297,SCI_MWC297,2019-03-23T09:46:13,lamSgr,CAL_MWC297_lamSgr,,,,,,1.0
HD_100546,2019-03-23,2019-03-24T04:48:29,HD100546,SCI_HD100546,2019-03-24T05:13:41,V532Car,CAL_HD100546,,,,,,1.0
HD_150193,2019-03-23,2019-03-24T07:54:57,HD150193,SCI_HD150193,2019-03-24T08:17:00,epsSco,CAL_HD150193,,,,,,1.0
KK_Oph,2019-03-23,2019-03-24T08:29:15,KK_Oph,SCI_KKOph,2019-03-24T08:48:04,VV1068Sco,CAL_KKOph,,,,,,1.0
HD_142666,2019-03-23,2019-03-24T09:01:46,HD142666,SCI_HD142666,2019-03-24T09:19:40,upsLib,CAL_HD142666,,,,,,1.0
HD_179218,2019-03-23,2019-03-24T09:34:22,HD179218,SCI_HD179218,2019-03-24T09:54:09,gamAql,CAL_HD179218_bright,,,,,,1.0
V921_Sco,2019-03-23,2019-03-24T10:07:06,V921_Sco,SCI_V921Sco,,,,,,,,,1.0
HD_142527,2019-05-05,2019-05-06T04:00:18,HD142527,SCI_HD142527,2019-05-06T03:47:01,HD_138742,CAL_HD142527_HD138742_L,2019-05-06T05:20:09,HD136422,CAL_HD150193_HD136422_N,"using CAL_HD150193_HD136422_N as N band cal., because unable to reduce N calibrator observations: 2019-05-06T04:51:46,2019-05-06T04:34:53 (HD151680 CAL_HD142527_HD151680_N )",,1.0
HD_150193,2019-05-05,2019-05-06T05:38:29,HD150193,SCI_HD150193,2019-05-06T06:02:16,HD_156637,CAL_HD150193_HD156637_L,2019-05-06T05:20:09,HD136422,CAL_HD150193_HD136422_N,,,1.0
HD_142666,2019-05-05,2019-05-06T06:37:56,HD142666,SCI_HD142666,2019-05-06T06:20:28,HD_135367,CAL_HD142666_HD135367_L,2019-05-06T06:59:26,HD149447,CAL_HD142666_HD149447_N,,,
HD_144432,2019-05-05,2019-05-06T07:33:07,HD144432,SCI_HD144432,2019-05-06T07:17:01,56_Hya,CAL_HD144432_56_Hya_L,2019-05-06T07:51:59,HD149447,CAL_HD144432_HD149447_N,,,1.0
HD_163296,2019-05-05,2019-05-06T08:19:51,HD163296,SCI_HD163296,2019-05-06T08:07:33,HD_156637,CAL_HD163296_HD156637_L,2019-05-06T08:38:14,HD168454,CAL_HD163296_HD168454_N,,,1.0
HD_156637,2019-05-05,2019-05-06T08:07:33,HD_156637,CAL_HD163296_HD156637_L,2019-05-06T08:38:14,HD168454,CAL_HD163296_HD168454_N,2019-05-06T08:38:14,HD168454,CAL_HD163296_HD168454_N,,calibrator,1.0
R_CrA,2019-05-05,2019-05-06T09:06:52,R_CrA,SCI_R_CrA,2019-05-06T09:28:34,HD181109,CAL_RCrA_HD181109_L,2019-05-06T09:41:46,del_Sgr,CAL_RCrA_del_Sgr_N,,,1.0
RU_Lup,2019-05-13,2019-05-14T03:06:51,RULup,SCI_RULup,2019-05-14T03:39:23,HD138492,CAL_RULup_HD138492_LN,,,,,ok,1.0
eta_Crv,2019-05-13,2019-05-14T04:08:01,eta_Crv,SCI_HD109085,2019-05-14T04:52:11,50_Vir,CAL_HD109085,,,,,,1.0
HD_142666,2019-05-13,2019-05-14T05:28:03,HD142666,SCI_HD142666,"2019-05-14T06:37:27,2019-05-14T06:12:59",tet_Lib,CAL_HD142666_tet_Lib,,,,,,1.0
AS_209,2019-05-13,2019-05-14T08:24:10,AS209,SCI_AS209,2019-05-14T09:00:03,HD_156637,CAL_AS209_HD_156637_LN,,,,,,1.0
MWC_297,2019-05-13,2019-05-14T09:21:17,MWC297,SCI_MWC297,2019-05-14T09:47:41,i_Aql,CAL_MWC297_HD176678,,,,,,1.0
HD_97048,2019-05-14,2019-05-14T23:49:40,HD97048,SCI_HD97048_b6ms,2019-05-15T00:30:41,kap_Cha,CAL_HD97048_kap_Cha_LN_b6ms,,,,,,1.0
HD_97048,2019-05-14,2019-05-15T00:10:56,HD97048,SCI_HD97048_b6ms,"2019-05-15T01:36:00,2019-05-15T01:10:46",kap_Cha,CAL_HD97048_kap_Cha_LN_b6ms,,,,,EWS N cal fail,1.0
HD_100453,2019-05-14,2019-05-15T01:53:07,HD100453,SCI_HD100453,2019-05-15T02:27:07,HD102461,CAL_HD100453_HD102461_LN,,,,,,1.0
IRAS_13481-6124,2019-05-14,2019-05-15T03:00:30,IRAS13481-6124,SCI_IRAS13481-6124,,,,2019-05-15T03:29:42,HD152786,CAL_IRAS13481-6124_HD152786_N,,,1.0
Circinus_Galaxy,2019-05-14,2019-05-15T04:45:06,CircinusGalaxy,SCI_Circinus_guidestar_27arcsec,2019-05-15T04:01:52,alfCirc,CAL_Circ_Hyb,,,,,,1.0
GJ_674,2019-05-14,2019-05-15T05:40:39,GJ_674,SCI_GJ_674,2019-05-15T05:11:47,HD_148103,CAL_GJ_674_bef,"2019-05-15T07:52:14,2019-05-15T07:22:51",HR_6778,CAL_GJ_674_aft,,,1.0
GJ_674,2019-05-14,2019-05-15T06:39:56,GJ_674,SCI_GJ_674,2019-05-15T05:11:47,HD_148103,CAL_GJ_674_bef,"2019-05-15T07:52:14,2019-05-15T07:22:51",HR_6778,CAL_GJ_674_aft,,,1.0
MWC_297,2019-05-14,2019-05-15T08:36:04,MWC297,SCI_MWC297,"2019-05-15T09:59:06,2019-05-15T09:33:23",i Aql,CAL_MWC297_HD176678,,,,,,1.0
MWC_297,2019-05-14,2019-05-15T08:46:16,MWC297,SCI_MWC297,"2019-05-15T10:15:39,2019-05-15T09:48:40",i Aql,CAL_MWC297_HD176678,,,,,,1.0
MWC_297,2019-05-14,2019-05-15T08:57:20,MWC297,SCI_MWC297,"2019-05-15T10:15:39,2019-05-15T09:48:40",i Aql,CAL_MWC297_HD176678,,,,,,1.0
IRAS_13481-6124,2019-06-09,2019-06-10T00:17:47,IRAS13481-6124,SCI_IRAS13481-6124,2019-06-10T00:54:13,HD102839,CAL_HD102839_HD100453_L,2019-06-10T00:04:38,HD107446,CAL_HD107446_HD100453_N,reduced L band data of the cal. HD 122451 are strange (tpl: 2019-06-10T00:39:13),,1.0
HD_100453,2019-06-09,2019-06-10T01:13:19,HD100453,SCI_HD100453,2019-06-10T00:54:13,HD102839,CAL_HD102839_HD100453_L,"2019-06-10T01:33:25,2019-06-10T00:04:38",HD107446,CAL_HD107446_HD100453_N,,,1.0
HD_135344B,2019-06-09,2019-06-10T02:25:42,HD135344B,SCI_HD135344B,2019-06-10T02:12:13,HD133550,CAL_HD133550_HD135344B_L,2019-06-10T02:48:39,HD136422,CAL_HD136422_HD135344B_N,,,1.0
HD_142666,2019-06-09,2019-06-10T03:23:25,HD142666,SCI_HD142666,2019-06-10T03:07:48,HD147084,CAL_HD147084_HD142666_L,,,,,,1.0
HD_142666,2019-06-09,2019-06-10T04:19:21,HD142666,SCI_HD142666,2019-06-10T03:07:48,HD147084,CAL_HD147084_HD142666_L,,,,,,1.0
HD_98922,2019-06-10,2019-06-10T23:27:32,HD98922,SCI_HD98922,2019-06-10T23:13:34,HD102964,CAL_HD98922_HD102964_L,2019-06-11T00:43:08,HD107446,CAL_HD98922_HD107446_N,,,1.0
HD_98922,2019-06-10,2019-06-10T23:47:48,HD98922,SCI_HD98922,2019-06-10T23:13:34,HD102964,CAL_HD98922_HD102964_L,2019-06-11T00:43:08,HD107446,CAL_HD98922_HD107446_N,,,1.0
HD_98922,2019-06-10,2019-06-11T00:04:46,HD98922,SCI_HD98922,2019-06-10T23:13:34,HD102964,CAL_HD98922_HD102964_L,2019-06-11T00:43:08,HD107446,CAL_HD98922_HD107446_N,,,1.0
HD_98922,2019-06-10,2019-06-11T00:07:18,HD98922,SCI_HD98922,2019-06-10T23:13:34,HD102964,CAL_HD98922_HD102964_L,2019-06-11T00:43:08,HD107446,CAL_HD98922_HD107446_N,,,1.0
HD_98922,2019-06-10,2019-06-11T00:26:17,HD98922,SCI_HD98922,2019-06-10T23:13:34,HD102964,CAL_HD98922_HD102964_L,2019-06-11T00:43:08,HD107446,CAL_HD98922_HD107446_N,,,1.0
V1028_Cen,2019-06-10,2019-06-11T01:00:30,V1028Cen,SCI_V1028Cen,,,,,,,,,1.0
HD_144668,2019-06-10,2019-06-11T01:41:22,HD144668,SCI_HD144668,2019-06-11T01:25:48,HD138492,CAL_HD138492_HD144668_L,2019-06-11T02:43:59,HD149447,CAL_HD144432_HD149447_N,,,1.0
V921_Sco,2019-06-10,2019-06-11T03:34:49,V921Sco,SCI_V921Sco_nophot,,,,2019-06-11T03:54:15,HD152161,CAL_V921Sco_HD152161_N,,,1.0
M8E-IR,2019-06-10,2019-06-11T07:04:37,M8E-IR,SCI_M8E-IR,2019-06-11T07:39:44,HD169420,CAL_M8E-IR_HD169420_L,"2019-06-11T06:27:16,2019-06-11T06:15:56",HD168454,CAL_M8E-IR_HD168454_N,,,1.0
M8E-IR,2019-06-10,2019-06-11T07:24:58,M8E-IR,SCI_M8E-IR,2019-06-11T07:39:44,HD169420,CAL_M8E-IR_HD169420_L,"2019-06-11T06:27:16,2019-06-11T06:15:56",HD168454,CAL_M8E-IR_HD168454_N,,,1.0
MWC_297,2019-06-10,2019-06-11T08:02:25,MWC297,SCI_MWC297,"2019-06-11T07:54:27,2019-06-11T07:51:01",HD174796,CAL_MWC297_HD174796_L,2019-06-11T08:26:13,HD171443,CAL_MWC297_HD171443_N,,,1.0
R_CrA,2019-06-10,2019-06-11T09:21:58,R_CrA,SCI_R_CrA,2019-06-11T09:11:35,HD181109,CAL_RCrA_HD181109_L,2019-06-11T09:39:32,HD177716,CAL_R_CrA_HD177716_N,,,1.0
VV_CrA_SW,2019-06-10,2019-06-11T09:58:49,VVCrASW,SCI_VVCrASW,2019-06-11T10:17:56,HD181109,CAL_RCrA_HD181109_L,2019-06-11T09:39:32,HD177716,CAL_R_CrA_HD177716_N,,,1.0
VV_CrA_SW,2019-06-10,2019-06-11T10:10:01,VVCrASW,SCI_VVCrASW,2019-06-11T10:17:56,HD181109,CAL_RCrA_HD181109_L,2019-06-11T09:39:32,HD177716,CAL_R_CrA_HD177716_N,,,1.0
HD_97048,2019-06-24,2019-06-25T00:03:05,HD97048,SCI_HD97048,2019-06-24T23:02:29,HD129078,CAL_HD97048_HD129078_LN,,,,,,1.0
HD_97048,2019-06-24,2019-06-25T00:46:22,HD97048,SCI_HD97048,2019-06-24T23:24:23,HD129078,CAL_HD97048_HD129078_LN,,,,,,1.0
V921_Sco,2019-06-25,2019-06-26T03:43:44,V921Sco,SCI_V921Sco,2019-06-26T04:29:41,HD151680,CAL_HD151680_V921Sco_LN,,,,,,1.0
HD_163296,2019-06-25,2019-06-26T06:26:41,HD163296,SCI_HD163296,2019-06-26T07:25:01,HD165135,CAL_HD165135_HD163296_LN,,,,,,1.0
MWC_297,2019-06-25,2019-06-26T08:14:21,MWC297,SCI_MWC297,2019-06-26T09:01:19,HD171443,CAL_HD171443_MWC297_LN,,,,,,1.0
tau_Cet,2019-06-25,2019-06-26T09:26:43,tauCet,SCI_tauCet,2019-06-26T09:58:10,HD6805,CAL_HD6805_tauCet_LN,,,,,,1.0
tau_Cet,2019-06-25,2019-06-26T10:21:51,tauCet,SCI_tauCet,2019-06-26T09:58:10,HD6805,CAL_HD6805_tauCet_LN,,,,,,1.0
V1028_Cen,2019-06-28,2019-06-28T23:49:17,V1028Cen,SCI_V1028Cen,2019-06-28T22:51:08,HD125687,CAL_V1028Cen_HD125687_LN,,,,,,1.0
HD_98922,2019-06-28,2019-06-29T00:50:22,HD98922,SCI_HD98922,2019-06-29T01:20:56,HD107446,CAL_HD98922_HD107446_LN,,,,,,1.0
HD_135344B,2019-06-28,2019-06-29T01:46:09,HD135344B,SCI_HD135344B,2019-06-29T02:26:28,HD136422,CAL_HD136422_HD135344B_LN,,,,,,1.0
HD_144668,2019-06-28,2019-06-29T02:51:22,HD144668,SCI_HD144668,2019-06-29T03:28:41,HD152161,CAL_HD152161_HD144668_LN,,,,,,1.0
HD_144432,2019-06-28,2019-06-29T04:25:16,HD144432,SCI_HD144432,2019-06-29T05:04:00,HD151680,CAL_HD151680_HD144432_LN,,,,,,1.0
KK_Oph,2019-06-28,2019-06-29T05:36:29,KK_Oph,SCI_KK_Oph,,,,,,,,,1.0
V921_Sco,2019-06-28,2019-06-29T06:11:07,V921Sco,SCI_V921Sco,2019-06-29T06:43:24,HD151680,CAL_HD151680_V921Sco_LN,,,,,,1.0
HD_163296,2019-06-28,2019-06-29T07:07:44,HD163296,SCI_HD163296,2019-06-29T07:38:15,HD165135,CAL_HD165135_HD163296_LN,,,,,,1.0
R_CrA,2019-06-28,2019-06-29T08:02:07,R_CrA,SCI_R_CrA,"2019-06-29T09:38:30,2019-06-29T08:32:37",HD183799,CAL_R_CrA_HD183799_LN_n1,,,,,,1.0
VV_CrA_SW,2019-06-28,2019-06-29T08:58:22,VVCrASW,SCI_VVCrASW,,,,,,,,,1.0
pi1_Gru,2019-06-28,2019-06-29T09:52:46,pi1_Gru,SCI_pi1_Gru,2019-06-29T10:30:11,HD211416,CAL_pi1Gru_HD211416_LN,,,,,,1.0
pi1_Gru,2019-06-28,2019-06-29T09:55:32,pi1_Gru,SCI_pi1_Gru,2019-06-29T10:30:11,HD211416,CAL_pi1Gru_HD211416_LN,,,,,,1.0
pi1_Gru,2019-06-28,2019-06-29T10:07:40,pi1_Gru,SCI_pi1_Gru,2019-06-29T10:30:11,HD211416,CAL_pi1Gru_HD211416_LN,,,,,,1.0
HD_97048,2019-06-29,2019-06-30T00:41:31,HD97048,SCI_HD97048,2019-06-29T22:44:27,HD129078,CAL_HD97048_HD129078_LN,,,,,,1.0
HD_97048,2019-06-29,2019-06-30T01:10:42,HD97048,SCI_HD97048,2019-06-29T23:08:45,HD129078,CAL_HD97048_HD129078_LN,,,,,,1.0
HD_98922,2019-06-29,2019-06-30T01:23:26,HD98922,SCI_HD98922,"2019-06-30T02:26:51,2019-06-30T02:11:10,2019-06-30T01:54:44",HD107446,CAL_HD98922_HD107446_LN,,,,,,1.0
HD_142666,2019-06-29,2019-06-30T02:53:05,HD142666,SCI_HD142666,2019-06-30T03:24:49,HD139997,CAL_HD139997_HD142666_LN,,,,,,1.0
HD_150193,2019-06-29,2019-06-30T03:53:19,HD150193,SCI_HD150193,"2019-06-30T05:19:31,2019-06-30T04:24:13",HD151680,CAL_HD151680_HD150193_LN,,,,,,1.0
HD_142527,2019-06-29,2019-06-30T04:49:21,HD142527,SCI_HD142527,,,,,,,,,1.0
